0,1,2,3,4,5
B0FFIRVQGX,,桂庙新村篮球场,体育休闲服务;运动场馆;篮球场馆,白石路桂庙新村(深大南地铁站A1口步行320米),"113.934847,22.525951"
B0FFG4TWMR,B02F301C6D,大益游泳馆,体育休闲服务;运动场馆;游泳馆,大益广场沃尔玛超市B1楼,"113.869774,22.579741"
B02F38S86E,,新安街道文化体育中心,体育休闲服务;运动场馆;综合体育馆,新安街道洪浪南路3号,"113.915864,22.56826"
B0FFFA26TD,,榕汛体育,体育休闲服务;运动场馆;运动场所,裕安一路84区宝安体育馆(宝体地铁站D口步行170米),"113.882137,22.558835"
B02F38VVD3,B02F37TS5I,招商海月二期恒温游泳馆,体育休闲服务;运动场馆;游泳馆,海月路招商海月二期会所1楼,"113.935534,22.502006"
B02F38OY00,B02F37UIGT,深圳大学游泳馆(深大北门路),体育休闲服务;运动场馆;游泳馆,南海大道3688号深圳大学内,"113.938632,22.536666"
B0FFJURVDN,B0FFF2SWK7,腾讯科技健身房,体育休闲服务;运动场馆;运动场所,深南大道10000号腾讯大厦,"113.934550,22.540465"
B0I6URE3AD,,趣运中心,体育休闲服务;运动场馆;综合体育馆,玉泉路麒麟花园A区11栋2楼201,"113.931510,22.545986"
B0FFFN39I7,,深圳湾网球中心(春茧网球中心),体育休闲服务;运动场馆;网球场,滨海大道3001,"113.948164,22.519900"
B0I69L4VGK,,广众健身俱乐部,体育休闲服务;运动场馆;综合体育馆,西乡大道27号华广集团4口,"113.890442,22.589485"
B0HADSE2N1,,一马体育宏发君域游泳池,体育休闲服务;运动场馆;游泳馆,宏发君域,"113.839720,22.777844"
B0H1D5N81L,B0FFJ14BJ7,3S健身馆,体育休闲服务;运动场馆;综合体育馆,高新南七道国信投资大厦503,"113.953118,22.533532"
B02F37VIVU,,下村东宝体育场(暂停营业),体育休闲服务;运动场馆;综合体育馆,下村路下村运动中心附近,"113.888473,22.792261"
B02F391GV8,,科技园文体中心篮球场,体育休闲服务;运动场馆;篮球场馆,深圳花园西北侧(深大地铁站A3口步行490米),"113.942227,22.542150"
